Company Name,Type,Traded,Traded as,ISIN,Domain,Industry,Founded,Founders,Headquarters,Number of locations,Area served,Products,Services,Revenue,Operating income,Net income,Total assets,Total equity,Key people,Number of employees,Subsidiaries,Divisions,Website
Acorda Therapeutics,Public,Nasdaq,ACOR,,Biotechnology,Health careBiotechnology,1995,Ron Cohen ,"420 Saw Mill River Road, Ardsley, New York, U.S.",,,AmpyraInbrija,,US$ 192.408 million,US$ 311.632 million, US$ 272.966 million,US$ 799.718 million, US$310.820 million ,Ron Cohen (CEO),344,,,acorda.com
Acorn Energy,Public,Nasdaq,ACFN,,Energy,Energy,1984,George Morgenstern,,,,,,US$ 19.560 million,,,,,,,,,AcornEnergy.com
Active Power,,,,,Manufacturing,Industrial Electrical Equipment,1992,,"2128 W Braker Lane, BK 12Austin, Texas 78758",,,Flywheel Energy StorageUninterruptible Power StorageEmergency Power SystemModular Data Center,,,,,,,"Mark Ascolese, President and CEO",234,,,www.activepower.com
Activision Blizzard,Public,Nasdaq,ATVI,US00507V1098,Entertainment/Gaming,Video games,"July 10, 2008",,"Santa Monica, California, US",,,Call of Duty seriesCrash Bandicoot seriesGuitar Hero seriesSkylanders seriesSpyro the Dragon seriesTony Hawk's seriesDiablo seriesHearthstoneHeroes of the StormOverwatchStarCraft seriesWarcraft seriesCandy Crush Saga,,US$8.09 billion, US$2.73 billion, US$2.2 billion, US$23.11 billion, US$15.04 billion,Brian Kelly(chairman)Bobby Kotick(CEO)Daniel Alegre(president and COO)Dennis Durkin(CFO),"9,500",ActivisionBlizzard EntertainmentKingMajor League GamingActivision Blizzard StudiosActivision Blizzard Consumer Products Group,,activisionblizzard.com
Acura Pharmaceuticals,Public,Nasdaq,ACUR,,Biotechnology,Pharmaceutical industry,1935,,"Palatine, Illinois",,,Pharmaceuticals,,US$0.75 million,,,,,,,,,acurapharm.com
Adesto Technologies,Public,Nasdaq,IOTS,,Software/Hardware,SemiconductorsEmbedded Systems,2006,,"Santa Clara, California, U.S.",,Worldwide,Non-volatile memoryCustom ASICsIP CoresEmbedded Systems,,US$83.49 million, US$ -11.26 million , US$ -21.44 million, US$ 137.19 million , US$ 62.74 million ,Narbeh Derhacobian (President & CEO)Ron Shelton (CFO),265,,,adestotech.com
Adobe Inc.,Public,Nasdaq,ADBE,,Software/Hardware,Software,Dec-82,John WarnockCharles Geschke,"Adobe World Headquarters, San Jose, California, U.S",,Worldwide,List of Adobe products,,US $11.17 billion, US$3.27 billion,US$ 2.95 billion, US$20.76 billion, US$10.53 billion,Shantanu Narayen (Chairman & CEO),"22,516",,,adobe.com
ADP (company),Public,Nasdaq,ADP,,Software/Hardware,"Business services, Software",1949,Henry Taub,"Roseland, New Jersey, U.S.",,,,"Human resource, payroll, tax and benefits administration solutions[buzzword] from a single source",US$14.59 billion , US$3.29 billion , US$2.47 billion , US$39.17 billion , US$5.75 billion ,"Kathleen Winters (CFO), Carlos A. Rodriguez (CEO)","58,000",,,adp.com
ADTRAN,Public,Nasdaq,ADTNS,,Manufacturing,Communication Equipment,1985,," Huntsville, Alabama, USA",,,,,US$636.8 Million , US$34.7 Million , US$35.2 million, US$667.2 Million , US$479.5 Million ,Tom Stanton CEO,2000,,,www.adtran.com
Advanced Energy,Public,Nasdaq,AEISS,,Miscelleneous,Conglomerate,1981,,"Denver, Colorado, USA, WW headquarters",,Worldwide,"High and low voltage power systems, thermal measuring instruments, plasma power generators, remote plasma sources, electrostatic products, AC-DC and DC-DC power supplies, thyristor power controls, global support services, Digital Thermometers and Temperature Probes & Sensors, Intrinsically Safe Test & Measuring Instruments, Humidity Measurement Instruments, Microwave & RF Instruments, LCR Meters, Ohmmeters, Grounding & Bonding Instruments, Signal Source & Waveform Amplifiers, Ratio Standards and Electrical Safety Instruments",,US$ 1.45 Billion," US$176,023 M"," US$134,675"," US$ 1,647,662 "," US$815,340 ",Steve Kelley (President & Chief Executive Officer)Paul Oldham (Executive Vice President & Chief Financial Officer)Dana Huth (Executive Vice President & Chief Revenue Officer)Tom McGimpsey (Executive Vice President & Chief Administrative Officer)Rory O ÄôByrne (Senior Vice President & Chief People Officer)Jason Giachino (Senior Vice President & Chief Information Officer)Eduardo Bernal (Advanced Energy Äôs Chief Operations Officer),"10,000",,,www.advanced-energy.com
Advanced Micro Devices,Public,Nasdaq,AMD,,Software/Hardware,Semiconductors,"May 1, 1969",Jerry Sanders,"Santa Clara, California, U.S.",,Worldwide,Central processing unitsGraphics processing unitMicroprocessorsSystems-on-chip (SoCs)Motherboard chipsetsNetwork interface controllersEmbedded processorsSolid-state drivesDriversTV accessories,,$9.76 billion, $1.37 billion, $2.49 billion, $8.96 billion, $5.84 billion,John Edward Caldwell (chairman)Lisa Su (president and CEO)Mark Papermaster (CTO),"12,600",,,amd.com
Advaxis,Public,Nasdaq,ADXS,,Biotechnology,"Biotechnology, Healthcare","March 1, 2002 ",,"Princeton, New Jersey, United States",,,Immunotherapies for cancer,,,,,,,Ken Berlin (CEO)Dr. Robert Petit (CSO)Molly Henderson (CFO) Dr. Andres Gutierrez (CMO,,,,www.advaxis.com
Adverum Biotechnologies,,Nasdaq,ADVM,,Biotechnology,"Biotechnology, Gene Therapy",2006,Thomas W. ChalbergMark S. BlumenkranzMitchell H. FinerSteven D. Schwartz,"Redwood City, CA",,,,,,,,,,Laurent Fischer(Chief Executive Officer)Leone Patterson(President & CFO)Peter Soparkar(Chief Legal Officer)Angela Thedinga(Chief Technology Officer),100,,,adverum.com
Aerie Pharmaceuticals,Public,Nasdaq,AERI,,Biotechnology,pharmaceutical companies,01-Jan-05,,Bedminster,,,,,,,,,,,,,,aeriepharma.com
AeroVironment,Public,Nasdaq,AVAVS,,Aerospace,"Aerospace industry, Energy industry",1971,,"Arlington, Virginia, United States",,,,, US$ 367.3 million , US$ 43.538 million , US$ 14 million, US$ 401.6 million , US$ 978.4 million ,"Paul B. MacCready Jr., Founder",,,,www.avinc.com
Affirm (company),Public,Nasdaq,AFRM,,Finance/Insurance,Finance,2012,Max LevchinNathan GettingsJeffrey KaditzAlex Rampell,"650 California Street, San Francisco, California, U.S.",,,"Consumer loans, Installment loan",, $510 Million ,,,,,Max Levchin,"1,342",,,www.affirm.com
Agenus,Public,Nasdaq,AGEN,,Biotechnology,"Biotechnology, Pharmaceutical Company",1994,"Garo H. Armen, Pramod K. Srivastava","3 Forbes Road, Lexington, Massachusetts, USA",,,,,,,,,,Garo H. Armen(Chairman and CEO)Jennifer Buell(President and COO),,,,www.agenusbio.com
Agilysys,,Nasdaq,AGYSS,,Software/Hardware,Hospitality Software,2003,,"Alpharetta, Georgia, USA",,,,"Hospitality PMS, Hospitality POS",,,,,,,,,,www.agilysys.com
Agios Pharmaceuticals,Public,Nasdaq,AGIO,,Biotechnology,Pharmaceuticals,2008,,"Cambridge, Massachusetts, United States",,,,, $118 Million,,,,,Jackie Fouse (CEO),536,,,agios.com
Air Methods,Private,,,,Aviation,"Air Services, Other",1980,,"Denver Technological CenterGreenwood Village, Colorado, United States",,,,, US$511 million , US$47.8 million , US$29.0 million, US$424 million , US$197 million ,"JaeLynn Williams, CEO Brent Smith, CFO Chris Myers, EVP Reimbursement and Strategic InitiativesTim Knapp, General CounselLeo Morrissette, EVP Operations Joe Resnik, VP of Safety","5,000",FSS AirholdingsRocky Mountain HoldingsMercy Air ServiceLifeNetSan Antonio AirLifeTri-State CareFlightNative Air,,airmethods.com
Airbnb,Public,Nasdaq,ABNB,,Hospitality,Lodging,Aug-08,Brian CheskyJoe GebbiaNathan Blecharczyk,"San Francisco, California",,Worldwide,,LodgingHospitality, $3.378 billion ,, -$4.584 billion , $10.491 billion , $2.901 billion ,Brian Chesky (CEO)Joe Gebbia (CPO)Nathan Blecharczyk (CSO),"5,597","Luxury Retreats International Inc.Tilt.com AccomableAibiyingTrooly, Inc.Deco Software Inc.Trip4real Experiences, S.L.Lapka, Inc.Airbnb UK LimitedHotelTonight",,airbnb.com
Akamai Technologies,Public,Nasdaq,AKAMS,,Software/Hardware,InternetCloud computing,1998,Daniel LewinF. Thomson LeightonRandall Kaplan Preetish Nijhawan  Jonathan Seelig,"Cambridge, Massachusetts, U.S.",,,,, $3.198 billion , $549 million , $557 million, $7.764 billion , $3.658 billion ,F. Thomson Leighton(CEO and Co-Founder)Frederic V. Salerno(Chairman),"8,800",,,akamai.com
Alarm.com,Public,Nasdaq,ALRMS,,Energy,"Security systems, remote monitoring, home automation, energy management",2000,,"Tysons, Virginia, U.S.",,,,,,,,,,"Steve Trundle (President and CEO) Alison Slavin  (Co-Founder, VP of Product Management)",,,,alarm.com
Alder Biopharmaceuticals,,Nasdaq,ALDR,,Biotechnology,Biopharmaceuticals,01-Jan-04,,"Bothell, United States",,,,,,,,,,,,,,www.alderbio.com †
Alerus Financial,Public,Nasdaq,ALRS,,Finance/Insurance,Financial services,1879,,"Grand Forks, North Dakota, U.S.",,,,,,,,,,,,,,www.alerus.com
Alico (company),Public,Nasdaq,ALCO,,Finance/Insurance,"Investments, agriculture, environmental services",,,"Fort Myers, Florida",,North America,"Citrus, land, water resources",,,,,,,"Ben Fishman-Interim President & Chairman John Kiernan - Chief Executive Officer James Sampel  - CIO, Richard Rallo  -CFO, Danny Sutton  - President & GM of Alico Citrus, Chris Moore - VP of Alico Logistics",,,,https://alicoinc.comhttps://alicowaterresources.com/http://alicocitrus.co/
Align Technology,Public,Nasdaq,ALGN,US0162551016,Healthcare,Orthodontics devices,1997,Zia ChishtiKelsey Wirth,"San Jose, California, U.S.",,Worldwide,"Clear aligners, scanners",, US$2.471 Billion, US$387.171 Million , US$1.775 Billion , US$4.829 Billion , US$3.233 Billion ,Joe Hogan(President) & (CEO),"15,319",,,aligntech.com
Alimera Sciences,Public,Nasdaq,ALIM,,Biotechnology,"Pharmaceutical company, health care, biotechnology",2003,,"Alpharetta, Georgia, USA",,,Pharmaceuticals,, $54.1 Million,,,,,"Rick Eiswirth, (President, CEO)",,,,www.alimerasciences.com
Alkermes (company),Public,Nasdaq,ALKS,,Biotechnology,Biotechnology,1987,Michael Wall,"Dublin, Ireland",,,,, US$1 billion , US$-42.9 Million, US$-39.6 Million, US$452 Million, US$392 Million,"Richard Pops, CEO",1200,,,www.alkermes.com
Allegiant Air,,,,,Aviation,Air travel,Jan-97,,"Summerlin, Nevada, U.S.",,,,," US$1,841 million ", US$364 million , US$232.1 million, US$2.18 billion , US$883.6 million ,Maurice J. Gallagher Jr. (Chairman & CEO)John Redmond (President)Scott Sheldon (V.P. & COO),,,,allegiantair.com
Allegiant Travel Company,Public,Nasdaq,ALGTS,,Aviation,"Air travel, hospitality, entertainment",1999,,"Summerlin, Nevada, U.S.A.",,,,,,,,,,Maurice J. Gallagher Jr.(Chairman and CEO),,Allegiant AirSunseeker ResortsAllegiant Nonstop,,www.allegiantair.com
Alliance Fiber Optic Products,Public,Nasdaq,AFOP,,Software/Hardware,Semiconductor - Broad Line,1995,,"Sunnyvale, California, United States",,,"Connectivity Products, Optical Passive Products",,,,,,,"Peter C. Chang ( Chief Exec. Officer, Pres, and Chairman) (2012.12)",,,,www.afop.com
Alliance MMA,Public,,,,Service,Mixed martial arts promotion,Feb-15,Joseph Gamberale,"New York City, New York, U.S.",,,,,,,,,,,,,,alliancemma.com
Alliant Energy,Public,Nasdaq,LNTS,,Service,utilities,1917,,"4902 N. Biltmore LaneMadison, WisconsinUnited States",,,"electricity, natural gas",, US$3.416 Billion , US$740 Million , US$624 million, US$17.710 Billion , US$5.888 Billion ,,"3,375",Interstate Power & LightWisconsin Power & Light,,www.alliantenergy.com
Allied Motion Technologies,Public,Nasdaq,AMOT,,Electronics,Electromechanical,Jan-39,Claude Hathaway,"Amherst, New York, U.S.",21,,"Electro-magnetic, mechanical and electronic motion technology",,,,,,,"Richard S. Warzala (Chairman of the Board, President, Chief Executive Officer)","1,770",,,www.alliedmotion.com
Allot,Public,NASDAQ,ALLT,,Telecom,Telecommunication,1996,,,,,Mass Market SECaaSNetwork Security SolutionsNetwork VisibilityTraffic ManagementPolicy & Charging ControlRegulatory ComplianceQoE & Application ControlWeb SecurityBehavior Anomaly Detection,,US$ 136 million ,,,,US$ 130.1 million ,Yigal Jacoby(Chairman)Erez Antebi(CEO),700,,,www.allot.com
Allscripts,Public,Nasdaq,MDRXS,,Software/Hardware,Information Technology,1982,,"Chicago, Illinois, U.S.",,,Analytics and InsightsCare CoordinationFinancialClinicalPatient Engagement,, US$1.50 billion ,, US$700.4 million, US$2.917 billion , US$1.666 billion ,Paul M. Black (CEO),8400,,,allscripts.com
Alnylam Pharmaceuticals,Public,Nasdaq,ALNY,,Biotechnology,Pharmaceutical,2002,,"Cambridge, Massachusetts, US",,,,, US $219.75 million,,,,,"John Maraganore, (CEO)","1,323",,,alnylam.com
Alphabet Inc.,Public,Nasdaq Class A,GOOGL,US02079K3059US02079K1079,Conglomerate,Conglomerate,"October 2, 2015",Larry PageSergey Brin,"Googleplex, Mountain View, California, U.S.",,Worldwide,InternetArtificial intelligenceCloud computingComputer softwareComputer hardwareAutonomous carsFiber to the xBiotechnologyHealth careCorporate venture capital,,US$ 182.53 billion,US$ 41.22 billion,US$ 40.27 billion,US$ 319.62 billion,US$ 222.54 billion,John L. Hennessy (Chairman)Sundar Pichai (CEO)Ruth Porat (CFO),"1,35,301",CalicoCapitalGDeepMindGoogleGoogle FiberGVSidewalk LabsVerilyWaymoWingX,,abc.xyz
Altair Engineering,Public,Nasdaq,ALTR,,Software/Hardware,CAE SoftwareProduct Design and DevelopmentSimulationData AnalyticsArtificial IntelligenceIoTHigh-Performance Computing,1985,James R. Scapa George Christ Mark Kistner,"Troy, Michigan, United States",,,,,US$469.9 million ,,,,,James R. Scapa (Chairman/CEO)Matthew Brown (CFO),"3,300",,,www.altair.com
Altra Industrial Motion,Public,Nasdaq,AIMC,,Manufacturing,Manufacturing - Power Transmission,2004,,"Braintree, Massachusetts, United States",,,,,,,,,,"Carl Christenson, President & CEOChristian Storch, CFOCraig Schuele, VP - Marketing & Bus DevDavid Ebling, VP & General ManagerGerry Ferris, VP - SalesGlenn Deegan, VP, Legal & Human Resources, General Counsel and SecretaryMark Stuebe, VP & General ManagerMark Klossner, VP & General ManagerTodd Patriacca, VP Finance, Corporate Controller, and Treasurer","10,000",,"Electric Clutches & BrakesCouplings, Clutches & BrakesGearing",altramotion.com
Amarin Corporation,Public,Nasdaq,AMRN,,Biotechnology,Biotechnology,1993,,"Dublin, IrelandBridgewater, New Jersey",,,Vascepa (AMR-101),, $614.1 Million ,,,,,,1000,,,www.amarincorp.com †
Amazon (company),Public,Nasdaq,AMZN,US0231351067,Software/Hardware,Cloud computinge-commerceartificial intelligenceconsumer electronicsentertainmentdigital distributionself-driving cars,"July 5, 1994",Jeff Bezos,"Seattle, Washington, U.S.",,Worldwide,EchoFire TabletFire TVFire OSKindle,Amazon.comAmazon AlexaAmazon AppstoreAmazon LunaAmazon MusicAmazon PrimeAmazon Prime VideoAmazon Web Services,US$ 386.064 billion,US$ 22.9 billion,US$ 21.331 billion,US$ 321.2 billion,US$ 93.404 billion,Jeff Bezos(Executive Chairman)Andy Jassy(President and CEO),"13,35,000",ListA9.comAbeBooksAlexa InternetAmazon.com ServicesAmazon AirAmazon BooksAmazon FreshAmazon GamesAmazon Lab126Amazon LogisticsAmazon PharmacyAmazon PublishingAmazon RoboticsAmazon StudiosAWSAudibleBody LabsBook DepositoryComiXologyDigital Photography ReviewEero LLCGoodreadsGraphiqIMDbMGM Holdings (sale pending)PillPackRingSouq.comTwitch InteractiveWhole Foods MarketWootZapposZoox,,amazon.com
AMC Networks,Public,Nasdaq,AMCX,US00164V1035,Media,Specialty televisionIndependent film distribution,"February 29, 1980",,"New York City, U.S.",,,,, US$2.971 billion , US$726 million , US$446 million,,,"James L. Dolan(Executive chairman)Josh Sapan(President, CEO)","2,197",IFC FilmsRLJE Films,AMC Networks International,amcnetworks.com
Amdocs,,Nasdaq,DOX,,Software/Hardware,Software,1982,"Morris Kahn, Boaz Dotan, Avinoam Naor","Chesterfield, Missouri, United States (corporate)Saint Peter Port, Guernsey (registered office)",,,,, US$4.1 billion ,, US$479 million, US$5.29 billion ,,Shuky Sheffer (CEO),"25,000",,,www.amdocs.com
Amedisys,Public,Nasdaq,AMEDS,US0234361089,Healthcare,Healthcare,1982,William F. Borne,"Baton Rouge, Louisiana, U.S.",,,,, US$2.071 Billion , US$219.268 Million , US$185.184 million, US$1.567 Billion , US$810.741 Million ,Paul Kusserow (Chairman & CEO)  Scott Ginn (CFO & EVP),"21,000",,,amedisys.com
American Airlines Group,Public,Nasdaq,AALDJTA,,Aviation,Aviation,"December 9, 2013",,"Skyview, Fort Worth, Texas, United States",350 destinations*,Worldwide,,Air transportation, US$17.335 billion , US$-10.224 billion , US$-8.450 billion , US$62.008 billion , US$-6.867 billion ,Doug Parker (Chairman and CEO)Robert Isom (President)Derek Kerr (CFO),"1,33,700",American AirlinesEnvoy AirPiedmont AirlinesPSA Airlines,American Airlines CargoAmerican EagleAmerican Airlines Shuttle,aa.com
American Electric Power,Public,Nasdaq,AEPDJUA,,Manufacturing,Electric utilities,1906,,"1 Riverside Plaza, Columbus, Ohio, U.S.",,"AEP Ohio: OhioAEP Texas: TexasAppalachian Power: Tennessee, Virginia, West VirginiaIndiana Michigan Power: Indiana, MichiganKentucky Power: KentuckyPSO: OklahomaSWEPCO: Arkansas, Louisiana, Texas",Electricity generationElectric power transmissionElectricity distribution,, US$8.879 Billion, US$1.507 Billion , US$1.064 Billion , US$80.757 Billion , US$20.774 Billion ,Nick Akins (CEO),"17,666",,,aep.com
American National Insurance Company,Public,Nasdaq,ANAT,,Finance/Insurance,"Insurance, Financial services",1905,,"One Moody PlazaGalveston, Texas, U.S.",,,"Insurance, annuities, mutual funds, Financial products",,US$3.411 Billion ,,US$496 million,US$26.3 Billion ,US$5.2 Billion ,"Ross Rankin Moody, Chairman of the BoardJames Pozzi, President & CEO","4,621",,,www.americannational.com
American Superconductor,Public,Nasdaq,AMSC,,Energy,Electric power infrastructure,1987,,"Ayer, MA, U.S.",,,,,$316 million,,$16 million,$400 million ,,"Daniel P. McGahn, President & CEO",,,,www.amsc.com
American Well,Public,NYSE,AMWL,,Healthcare,Healthcare,Jun-06,Ido SchoenbergRoy Schoenberg,"Boston, Massachusetts, U.S.",,United States,,Mobile and web patient-to-physician teleconferencing, $149 million ,,,,,"Muneer Satter, investor",700,,,www.amwell.com
American Woodmark,Public,Nasdaq,AMWDS&,,Retail,furniture,1980,Bill BrandtAl GraberJeff HolcombDon Mathias,"Winchester, Virginia, Winchester, Virginia, US",,USA,cabinets,cabinetry installation,US$1.25 Billion,US$69.9 Million,US$63.1M ,US$1.65B ,US$581M ,M. Scott Culbreth (CEO),"10,070",,,americanwoodmark.com
Ameris Bancorp,Public,Nasdaq,ABCBS&,,Banking,BankingFinancial services,"October 1, 1971","Eugene M. Vereen, Jr.","Atlanta, Georgia, U.S.",,GeorgiaAlabama FloridaSouth CarolinaNorth Carolina TennesseeVirginiaMaryland,Retail bankingCommercial bankCredit cardsMortgage loans,, $534.042 million ,, $213 million, $21.886 billion , $2.827 billion ,"H. Palmer Proctor, Jr., CEOJames B. Miller, Jr., ChairmanNicole S. Stokes, CFOLawton E. Bassett III, President","2,702",,,www.amerisbank.com
AmeriServ Financial,Public,Nasdaq,ASRV,,Banking,Banking,1983,,"Johnstown, Pennsylvania",,,,,,,, $1.167 billion , $0.095 billion ,"Craig G. Ford, ChairmanJeffrey A. Stopko, CEO & PresidentMichael D. Lynch, CFO",305,,,www.ameriserv.com
Amgen,Public,Nasdaq,AMGN,US0311621009,Biotechnology,Biotechnology,"April 8, 1980",,"Thousand Oaks, California, U.S.",,,"Aimovig, Aranesp, Blincyto, Epogen, Kineret, Enbrel, Kyprolis, Neulasta, Neupogen, Nplate, Parsabiv, Prolia, Repatha, Sensipar/Mimpara, Vectibix, Xgeva",, US$25.424 billion , US$9.674 billion , US$7.842 billion , US$59.707 billion , US$9.673 billion ,"Robert A. Bradway (Chairman, President, & CEO)","22,000",,,amgen.com
Amicus Therapeutics,Public,Nasdaq,FOLD,,Biotechnology,Biotechnology,"February 4, 2002",,"Philadelphia, Pennsylvania, United States",,,,," $91,245,000", , ," $789,951,000  $627,024,000 "," $342,912,000  $352,850,000 ",John Crowley(Chairman and Chief Executive Officer)Bradley Campbell(President and Chief Operating Officer)Daphne Quimi(Chief Financial Officer)David Clark(Chief People Officer),508,,,www.amicusrx.com
Amkor Technology,Public,Nasdaq,AMKRS,US0316521006,Software/Hardware,Semiconductors & Related Devices,1968,Hyang-Soo Kim,"Tempe, Arizona, U.S.",,,,, US$4.19 billion , US$401.31 million , US$264.89 million, US$4.52 billion , US$1.69 billion ,Joo-Jin (James) Kim(executive chairman)John T. Kim(executive vice chairman)Giel Rutten(president & CEO)Megan Faust(corporate VP & CFO),"29,050",,,amkor.com
Amplitude (company),,,,,Finance/Insurance,Insurance,,,,,,,,,,,,,,,,,
AmTrust Financial Services,Private,,,,Finance/Insurance,"Insurance, Extended Warranties, Specialty Risk",,George Karfunkel Michael Karfunkel,"59 Maiden LaneNew York City, USA",,North AmericaUnited KingdomEurope,Cyber insuranceLiability insuranceWorkers' compensationEPLIDisability insurance,,,,,,,"Barry Zyskind (CEO)Ronald Pipoly(CEO, 2005)","5,723",,,amtrustfinancial.com
Amyris (company),Public,Nasdaq,AMRS,,Energy,"Renewable fuels, antimalarials, renewable chemicals, renewable products",2003,,"Emeryville, California, USA",,,,, $152.6 million ,,,,,John G. Melo (CEO)   Eduardo Alvarez (COO)  Han Kieftenbeld (CFO)  Nicole Kelsey (Gen.Counsel & Secretary),561,Amyris Fuels,,www.amyris.com
Analog Devices,Public,Nasdaq,ADI,,Software/Hardware,Semiconductors,1965,Ray StataMatthew Lorber,"Wilmington, Massachusetts, U.S.",,,Semiconductors,, US$5.794 Billion, US$1.498 Billion , US$1.220 Billion , US$21.468 Billion , US$11.997 Billion ,"Vincent Roche, CEO & President, Raymond Stata, Chairman of the Board","15,300",,,analog.com
ANGI Homeservices,Public,NASDAQ,ANGI,,Software/Hardware,Internet Content & Information,1995,,"Denver, Colorado",,,,"Online marketplace, Review site",US$ 1.132 billion,US$ 142.035 million,US$ 77.507 million,,,,,AngiHomeAdvisor,,
Ansys,Public,Nasdaq,ANSS,,Software/Hardware,Computer software,1970,,"Canonsburg, Pennsylvania, U.S.",,,Ansys suite of engineering simulation software,, US$1.516 billion , US$515.04 million , US$451.3 million, US$4.839 billion , US$3.453 billion ,"Ronald W. Hovsepian, ChairmanAjei S. Gopal, President and CEO","4,100",,,ansys.com
Antenna Products Corporation,Public,Nasdaq,ANTP,,Manufacturing,communication equipment,,,,,,,,,,,,,,,,,http://antennaproducts.com/
APA Corporation,Public,Nasdaq,APAS,US03743Q1085,Energy,Petroleum industry,1954,Truman AndersonCharles ArnaoRaymond Plank,"Post Oak CentralHouston, Texas, U.S.",,,PetroleumNatural gas,,US$ 4.308 billion,,US$ 4.860 billion,US$ 12.746 billion,US$ 0.645 billion,"John J. Christmann IV, CEO","3,163",,,apacorp.com
